成立年份,总注册资本_万人民币
2000,16974133.841692
2001,10537830.151799
2002,10015562.876222
2003,9123035.279393
2004,21079428.306695998
2005,9143166.679319
2006,16797759.225242
2007,15193129.389192
2008,14045452.748923
2009,23150227.807373
2010,17180374.119166
2011,19033726.915514
2012,24166920.245743
2013,35685792.2327078
2014,39079865.978984
2015,36129359.811321996
2016,49467853.565653004
2017,67516650.911044
2018,97463118.103038
2019,1136530965.488009
2020,404520219.383319
2021,492450915.0244512
2022,989287824.443867
2023,1839532674.227635
2024,271403496.566294
