year,establish_year,new,death,net_growth,total,new_growth%,death_growth%,net_growth_growth%,total_growth%,prev_total,birth_rate%,death_rate%,natural_growth%
2000,2000,1030,2,1028,4479,0.0,0.0,0.0,0.0,3451,0.0,0.0,0.0
2001,2001,1371,4,1367,5846,33.106796116504846,100.0,32.97665369649805,30.520205402991742,4479,26.55690072639225,0.07748184019370459,26.479418886198545
2002,2002,1669,3,1666,7512,21.73595915390225,-25.0,21.872713972201897,28.498118371536087,5846,24.988770774067977,0.04491690372810301,24.943853870339872
2003,2003,2202,4,2198,9710,31.93529059316955,33.33333333333333,31.932773109243694,29.25985090521832,7512,25.571942863778887,0.04645221228661015,25.525490651492277
2004,2004,2509,4,2505,12215,13.94187102633968,0.0,13.967242948134672,25.79814624098866,9710,22.887115165336375,0.036488027366020526,22.850627137970356
2005,2005,2724,6,2718,14933,8.569151056197688,50.0,8.50299401197605,22.25133033155955,12215,20.06777663179608,0.04420215117135701,20.02357448062472
2006,2006,3195,5,3190,18123,17.29074889867841,-16.666666666666664,17.365710080941877,21.36208397508872,14933,19.330832526621492,0.03025169409486931,19.300580832526624
2007,2007,3536,3,3533,21656,10.672926447574337,-40.0,10.752351097178693,19.49456491750814,18123,17.778224691420096,0.015083335428241031,17.763141355991856
2008,2008,3934,10,3924,25580,11.25565610859729,233.33333333333334,11.06708180016982,18.119689693387507,21656,16.65678719620628,0.0423405876873571,16.614446608518925
2009,2009,5313,4,5309,30889,35.053380782918154,-60.0,35.295616717635056,20.754495699765442,25580,18.817404239494238,0.014167065115373037,18.803237174378864
2010,2010,6642,4,6638,37527,25.014116318464154,0.0,25.032962893200228,21.489850755932526,30889,19.416510757717493,0.011693171188026192,19.404817586529468
2011,2011,7987,5,7982,45509,20.249924721469448,25.0,20.247062368183187,21.27001891971114,37527,19.237439183004962,0.012042969314514186,19.22539621369045
2012,2012,8732,2,8730,54239,9.327657443345426,-60.0,9.371084941117513,19.183018743545244,45509,17.50812046356819,0.004010105465773749,17.504110358102416
2013,2013,11896,4,11892,66131,36.23453962437013,100.0,36.21993127147767,21.925182986411997,54239,19.76572235606879,0.0066461742959209105,19.75907618177287
2014,2014,21522,4,21518,87649,80.91795561533289,0.0,80.94517322569794,32.53844641696026,66131,27.990635973468592,0.005202236961893614,27.9854337365067
2015,2015,26525,20,26505,114154,23.2459808567977,400.0,23.175945719862433,30.23993428333467,87649,26.288013557776647,0.019821310882395207,26.26819224689425
2016,2016,33411,49,33362,147516,25.96041470311028,145.00000000000003,25.870590454631206,29.22543231073813,114154,25.536744754843888,0.03745175220697825,25.49929300263691
2017,2017,42122,241,41881,189397,26.072251653646994,391.83673469387753,25.535039865715483,28.390818623064607,147516,25.004674797351246,0.14306363957460827,24.861611157776636
2018,2018,57180,1449,55731,245128,35.74853995536773,501.2448132780083,33.069888493588984,29.42549248404145,189397,26.318393648236583,0.6669351590817559,25.651458489154827
2019,2019,79022,4369,74653,319781,38.198670863938446,201.51828847481022,33.95237838904739,30.454701217323187,245128,27.976895393771382,1.5467978028319607,26.430097590939422
2020,2020,182507,12546,169961,489742,130.95720179190607,187.15953307392996,127.66801066266594,53.14918647449347,319781,45.09000979589215,3.0996030996030997,41.99040669628905
2021,2021,319524,37796,281728,771470,75.07492863287435,201.2593655348318,65.76038032254459,57.52579929840611,489742,50.6693561431385,5.993599807169611,44.67575633596889
2022,2022,363360,60695,302665,1074135,13.719157246404023,60.58577627262145,7.431636188096324,39.23224493499424,771470,39.37570606928351,6.5772470273975205,32.79845904188599
2023,2023,434676,84908,349768,1423903,19.626816380449142,39.89290715874454,15.56275089620538,32.5627598020733,1074135,34.80139213254562,6.7979750508198835,28.00341708172574
2024,2024,412880,123438,289442,1713345,-5.014309508691528,45.37852734724643,-17.24743258388417,20.327367805250773,1423903,26.321157906547395,7.869189812217586,18.451968094329807
