聚类,年份,平均增长率
0,2024,0.25068834586466165
1,2024,0.2023684210526316
2,2024,0.2797
0,2025,0.200506015037594
1,2025,0.16826842105263157
2,2025,0.21830000000000002
0,2026,0.16595338345864663
1,2026,0.14318947368421048
2,2026,0.1789333333333333
0,2027,0.14182706766917294
1,2027,0.12477368421052633
2,2027,0.15169999999999997
0,2028,0.12396616541353384
1,2028,0.11062631578947367
2,2028,0.13166666666666668
0,2029,0.1101154135338346
1,2029,0.09941578947368421
2,2029,0.1163
0,2030,0.09907293233082708
1,2030,0.09030526315789472
2,2030,0.10413333333333334
