城市,全部企业
万宁市,1
三亚市,54
三明市,45
三门峡市,13
上海市,3420
上饶市,44
东方市,1
东莞市,473
东营市,107
中卫市,7
中山市,157
临夏回族自治州,4
临汾市,24
临沂市,142
临沧市,6
临高县,1
丹东市,40
丽水市,53
丽江市,10
乌兰察布市,7
乌海市,14
乌鲁木齐市,380
乐山市,10
九江市,49
云浮市,9
五家渠市,1
五指山市,1
亳州市,10
仙桃市,7
伊春市,1
伊犁哈萨克自治州,17
佛山市,433
佳木斯市,12
保定市,70
保山市,6
信阳市,27
儋州市,7
克孜勒苏柯尔克孜自治州,1
克拉玛依市,25
六安市,26
六盘水市,8
兰州市,482
兴安盟,5
内江市,20
凉山彝族自治州,21
包头市,75
北京市,6552
北屯市,1
北海市,32
十堰市,68
南京市,1349
南充市,42
南宁市,588
南平市,34
南昌市,315
南通市,193
南阳市,55
博尔塔拉蒙古自治州,6
厦门市,1323
双鸭山市,2
台州市,98
合肥市,727
吉安市,31
吉林市,69
吐鲁番市,3
吕梁市,16
吴忠市,10
周口市,12
呼伦贝尔市,15
呼和浩特市,147
和田地区,8
咸宁市,28
咸阳市,52
哈密市,9
哈尔滨市,276
唐山市,108
商丘市,18
商洛市,3
喀什地区,11
嘉兴市,205
嘉峪关市,8
四平市,7
固原市,10
塔城地区,4
大同市,21
大庆市,54
大理白族自治州,13
大连市,414
天水市,30
天津市,1095
天门市,3
太原市,392
威海市,84
娄底市,31
孝感市,34
宁德市,86
宁波市,556
安庆市,42
安康市,24
安阳市,32
安顺市,1
定安县,1
定西市,9
宜宾市,38
宜昌市,119
宜春市,43
宝鸡市,68
宣城市,15
宿州市,25
宿迁市,60
山南市,3
山西转型综合改革示范区,1
岳阳市,34
崇左市,6
巴中市,8
巴彦淖尔市,9
巴音郭楞蒙古自治州,67
常州市,232
常德市,23
平凉市,13
平顶山市,31
广元市,21
广安市,12
广州市,3698
庆阳市,18
廊坊市,59
延安市,31
延边朝鲜族自治州,21
开封市,16
张家口市,20
张家界市,14
张掖市,16
徐州市,204
德宏傣族景颇族自治州,7
德州市,59
德阳市,44
忻州市,5
怀化市,18
怒江傈僳族自治州,1
恩施土家族苗族自治州,48
惠州市,163
成都市,1721
扬州市,170
承德市,16
抚州市,24
抚顺市,10
拉萨市,40
揭阳市,25
攀枝花市,11
文山壮族苗族自治州,8
文昌市,1
新乡市,58
新余市,19
无锡市,506
日喀则市,2
日照市,77
昆明市,535
昌吉回族自治州,17
昌都市,2
昭通市,12
晋中市,35
晋城市,39
普洱市,12
景德镇市,8
曲靖市,28
朔州市,15
朝阳市,16
本溪市,13
来宾市,8
杭州市,1959
松原市,14
林芝市,4
枣庄市,51
柳州市,85
株洲市,61
桂林市,82
梅州市,36
梧州市,11
楚雄彝族自治州,18
榆林市,93
武威市,15
武汉市,1331
毕节市,9
永州市,13
汉中市,24
汕头市,93
汕尾市,7
江门市,75
池州市,15
沈阳市,538
沧州市,33
河池市,7
河源市,23
泉州市,277
泰安市,101
泰州市,94
泸州市,34
洛阳市,87
济南市,1045
济宁市,137
济源市,9
海东市,4
海北藏族自治州,2
海南藏族自治州,1
海口市,393
海西蒙古族藏族自治州,9
淄博市,146
淮北市,19
淮南市,27
淮安市,52
深圳市,2699
清远市,24
温州市,385
渭南市,28
湖州市,98
湘潭市,31
湘西土家族苗族自治州,3
湛江市,82
滁州市,27
滨州市,71
漯河市,11
漳州市,128
潍坊市,150
潜江市,4
潮州市,18
澄迈县,13
濮阳市,19
烟台市,248
焦作市,22
牡丹江市,22
玉林市,29
玉溪市,10
珠海市,518
琼海市,2
甘南藏族自治州,1
甘孜藏族自治州,1
白城市,5
白山市,9
白银市,6
百色市,22
益阳市,19
盐城市,124
盘锦市,27
眉山市,26
石嘴山市,11
石家庄市,221
石河子市,5
神农架林区,4
福州市,1111
秦皇岛市,40
红河哈尼族彝族自治州,20
绍兴市,124
绥化市,4
绵阳市,120
聊城市,55
肇庆市,41
自贡市,32
舟山市,24
芜湖市,61
苏州市,1185
茂名市,27
荆州市,39
荆门市,20
莆田市,53
菏泽市,39
萍乡市,18
营口市,28
葫芦岛市,17
蚌埠市,25
衡水市,17
衡阳市,32
衢州市,39
襄阳市,75
西双版纳傣族自治州,10
西宁市,125
西安市,2053
西藏自治区,1
许昌市,24
贵港市,19
贵阳市,375
贺州市,3
资阳市,15
赣州市,62
赤峰市,26
辽源市,5
辽阳市,19
达州市,11
运城市,31
连云港市,74
迪庆藏族自治州,3
通化市,7
通辽市,17
遂宁市,18
遵义市,29
邢台市,11
邯郸市,27
邵阳市,11
郑州市,836
郴州市,20
鄂尔多斯市,68
鄂州市,17
酒泉市,21
重庆市,1288
金华市,179
金昌市,15
钦州市,12
铁岭市,12
铜仁市,8
铜川市,9
铜陵市,17
银川市,178
锡林郭勒盟,8
锦州市,22
镇江市,107
长春市,405
长沙市,785
长治市,40
阜新市,11
阜阳市,31
防城港市,8
阳江市,8
阳泉市,27
阿克苏地区,19
阿勒泰地区,5
阿坝藏族羌族自治州,3
阿拉善盟,3
阿拉尔市,1
阿里地区,1
陇南市,11
陵水黎族自治县,1
随州市,12
雅安市,7
青岛市,917
鞍山市,59
韶关市,37
马鞍山市,48
驻马店市,9
鸡西市,8
鹤壁市,10
鹤岗市,4
鹰潭市,10
黄冈市,29
黄山市,9
黄石市,32
黑河市,6
黔东南苗族侗族自治州,7
黔南布依族苗族自治州,5
黔西南布依族苗族自治州,10
齐齐哈尔市,15
龙岩市,69
