年份,领域,累计存活企业数量
2000,半导体,18
2001,半导体,33
2002,半导体,58
2003,半导体,93
2004,半导体,123
2005,半导体,173
2006,半导体,230
2007,半导体,285
2008,半导体,353
2009,半导体,451
2010,半导体,581
2011,半导体,720
2012,半导体,875
2013,半导体,1095
2014,半导体,1452
2015,半导体,1842
2016,半导体,2374
2017,半导体,2996
2018,半导体,3744
2019,半导体,4588
2020,半导体,6338
2021,半导体,9851
2022,半导体,13370
2023,半导体,17629
2024,半导体,20733
2025,半导体,23837
2026,半导体,26941
2027,半导体,30045
2028,半导体,33149
2029,半导体,36253
2030,半导体,39357
2000,大数据分析,0
2001,大数据分析,2
2002,大数据分析,2
2003,大数据分析,2
2004,大数据分析,2
2005,大数据分析,3
2006,大数据分析,3
2007,大数据分析,3
2008,大数据分析,3
2009,大数据分析,3
2010,大数据分析,4
2011,大数据分析,3
2012,大数据分析,4
2013,大数据分析,10
2014,大数据分析,15
2015,大数据分析,25
2016,大数据分析,40
2017,大数据分析,77
2018,大数据分析,114
2019,大数据分析,160
2020,大数据分析,188
2021,大数据分析,207
2022,大数据分析,208
2023,大数据分析,207
2024,大数据分析,201
2025,大数据分析,188
2026,大数据分析,207
2027,大数据分析,208
2028,大数据分析,207
2029,大数据分析,201
2030,大数据分析,195
2000,数据服务,1
2001,数据服务,3
2002,数据服务,3
2003,数据服务,4
2004,数据服务,8
2005,数据服务,10
2006,数据服务,11
2007,数据服务,12
2008,数据服务,19
2009,数据服务,23
2010,数据服务,30
2011,数据服务,33
2012,数据服务,41
2013,数据服务,55
2014,数据服务,77
2015,数据服务,114
2016,数据服务,162
2017,数据服务,302
2018,数据服务,531
2019,数据服务,765
2020,数据服务,906
2021,数据服务,934
2022,数据服务,899
2023,数据服务,853
2024,数据服务,803
2025,数据服务,754
2026,数据服务,711
2027,数据服务,680
2028,数据服务,665
2029,数据服务,657
2030,数据服务,653
2000,机器人,229
2001,机器人,520
2002,机器人,896
2003,机器人,1380
2004,机器人,1952
2005,机器人,2577
2006,机器人,3288
2007,机器人,4124
2008,机器人,5068
2009,机器人,6283
2010,机器人,7853
2011,机器人,9681
2012,机器人,11628
2013,机器人,14341
2014,机器人,18910
2015,机器人,24514
2016,机器人,31658
2017,机器人,40587
2018,机器人,52759
2019,机器人,67676
2020,机器人,98944
2021,机器人,145459
2022,机器人,191272
2023,机器人,247431
2024,机器人,296698
2025,机器人,345965
2026,机器人,395232
2027,机器人,444499
2028,机器人,493766
2029,机器人,543033
2030,机器人,592300
2000,深度学习,0
2001,深度学习,0
2002,深度学习,0
2003,深度学习,0
2004,深度学习,0
2005,深度学习,0
2006,深度学习,1
2007,深度学习,1
2008,深度学习,2
2009,深度学习,2
2010,深度学习,2
2011,深度学习,3
2012,深度学习,3
2013,深度学习,4
2014,深度学习,6
2015,深度学习,9
2016,深度学习,11
2017,深度学习,23
2018,深度学习,33
2019,深度学习,54
2020,深度学习,58
2021,深度学习,55
2022,深度学习,47
2023,深度学习,40
2024,深度学习,36
2025,深度学习,36
2026,深度学习,36
2027,深度学习,36
2028,深度学习,36
2029,深度学习,36
2030,深度学习,36
2000,物联网,3
2001,物联网,8
2002,物联网,16
2003,物联网,27
2004,物联网,34
2005,物联网,50
2006,物联网,64
2007,物联网,78
2008,物联网,93
2009,物联网,116
2010,物联网,136
2011,物联网,168
2012,物联网,211
2013,物联网,290
2014,物联网,432
2015,物联网,601
2016,物联网,831
2017,物联网,1188
2018,物联网,1799
2019,物联网,2632
2020,物联网,3386
2021,物联网,3606
2022,物联网,3461
2023,物联网,3330
2024,物联网,3153
2025,物联网,2932
2026,物联网,2757
2027,物联网,2652
2028,物联网,2605
2029,物联网,2595
2030,物联网,2604
2000,自然语言处理,0
2001,自然语言处理,0
2002,自然语言处理,0
2003,自然语言处理,0
2004,自然语言处理,0
2005,自然语言处理,0
2006,自然语言处理,0
2007,自然语言处理,0
2008,自然语言处理,0
2009,自然语言处理,0
2010,自然语言处理,1
2011,自然语言处理,1
2012,自然语言处理,1
2013,自然语言处理,1
2014,自然语言处理,1
2015,自然语言处理,1
2016,自然语言处理,1
2017,自然语言处理,1
2018,自然语言处理,1
2019,自然语言处理,3
2020,自然语言处理,2
2021,自然语言处理,2
2022,自然语言处理,2
2023,自然语言处理,2
2024,自然语言处理,2
2025,自然语言处理,2
2026,自然语言处理,2
2027,自然语言处理,2
2028,自然语言处理,2
2029,自然语言处理,2
2030,自然语言处理,2
2000,软件开发,732
2001,软件开发,1655
2002,软件开发,2796
2003,软件开发,4326
2004,软件开发,5999
2005,软件开发,7870
2006,软件开发,10026
2007,软件开发,12452
2008,软件开发,15103
2009,软件开发,18702
2010,软件开发,23112
2011,软件开发,28450
2012,软件开发,34316
2013,软件开发,42239
2014,软件开发,57001
2015,软件开发,75256
2016,软件开发,98032
2017,软件开发,125651
2018,软件开发,160601
2019,软件开发,208065
2020,软件开发,321714
2021,软件开发,520166
2022,软件开发,737316
2023,软件开发,1000915
2024,软件开发,1223355
2025,软件开发,1399836
2026,软件开发,1519916
2027,软件开发,1595259
2028,软件开发,1640019
2029,软件开发,1665751
2030,软件开发,1680267
